DATE,CLOSE,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
42739,4937.205,5055.851,5044.652,5059.509,5041.426,5050.21,5035.167,5024.899,5007.077,4964.953,4937.205
42738,4911.333,5044.652,5059.509,5041.426,5050.21,5035.167,5024.899,5007.077,4964.953,4937.205,4911.333
42734,4863.62,5059.509,5041.426,5050.21,5035.167,5024.899,5007.077,4964.953,4937.205,4911.333,4863.62
42733,4918.283,5041.426,5050.21,5035.167,5024.899,5007.077,4964.953,4937.205,4911.333,4863.62,4918.283
42732,4926.286,5050.21,5035.167,5024.899,5007.077,4964.953,4937.205,4911.333,4863.62,4918.283,4926.286
42731,4965.808,5035.167,5024.899,5007.077,4964.953,4937.205,4911.333,4863.62,4918.283,4926.286,4965.808
42727,4940.023,5024.899,5007.077,4964.953,4937.205,4911.333,4863.62,4918.283,4926.286,4965.808,4940.023
42726,4934.391,5007.077,4964.953,4937.205,4911.333,4863.62,4918.283,4926.286,4965.808,4940.023,4934.391
42725,4948.905,4964.953,4937.205,4911.333,4863.62,4918.283,4926.286,4965.808,4940.023,4934.391,4948.905
42724,4953.803,4937.205,4911.333,4863.62,4918.283,4926.286,4965.808,4940.023,4934.391,4948.905,4953.803
42723,4934.847,4911.333,4863.62,4918.283,4926.286,4965.808,4940.023,4934.391,4948.905,4953.803,4934.847
42720,4914.864,4863.62,4918.283,4926.286,4965.808,4940.023,4934.391,4948.905,4953.803,4934.847,4914.864
42719,4933.407,4918.283,4926.286,4965.808,4940.023,4934.391,4948.905,4953.803,4934.847,4914.864,4933.407
42718,4921.218,4926.286,4965.808,4940.023,4934.391,4948.905,4953.803,4934.847,4914.864,4933.407,4921.218
42717,4935.837,4965.808,4940.023,4934.391,4948.905,4953.803,4934.847,4914.864,4933.407,4921.218,4935.837
42716,4874.297,4940.023,4934.391,4948.905,4953.803,4934.847,4914.864,4933.407,4921.218,4935.837,4874.297
42713,4895.904,4934.391,4948.905,4953.803,4934.847,4914.864,4933.407,4921.218,4935.837,4874.297,4895.904
42712,4859.186,4948.905,4953.803,4934.847,4914.864,4933.407,4921.218,4935.837,4874.297,4895.904,4859.186
42711,4851.939,4953.803,4934.847,4914.864,4933.407,4921.218,4935.837,4874.297,4895.904,4859.186,4851.939
42710,4788.671,4934.847,4914.864,4933.407,4921.218,4935.837,4874.297,4895.904,4859.186,4851.939,4788.671
42709,4778.141,4914.864,4933.407,4921.218,4935.837,4874.297,4895.904,4859.186,4851.939,4788.671,4778.141
42706,4739.373,4933.407,4921.218,4935.837,4874.297,4895.904,4859.186,4851.939,4788.671,4778.141,4739.373
42705,4734.096,4921.218,4935.837,4874.297,4895.904,4859.186,4851.939,4788.671,4778.141,4739.373,4734.096
42704,4810.814,4935.837,4874.297,4895.904,4859.186,4851.939,4788.671,4778.141,4739.373,4734.096,4810.814
42703,4873.209,4874.297,4895.904,4859.186,4851.939,4788.671,4778.141,4739.373,4734.096,4810.814,4873.209
42702,4857.021,4895.904,4859.186,4851.939,4788.671,4778.141,4739.373,4734.096,4810.814,4873.209,4857.021
42699,4870.017,4859.186,4851.939,4788.671,4778.141,4739.373,4734.096,4810.814,4873.209,4857.021,4870.017
42697,4853.862,4851.939,4788.671,4778.141,4739.373,4734.096,4810.814,4873.209,4857.021,4870.017,4853.862
42696,4873.842,4788.671,4778.141,4739.373,4734.096,4810.814,4873.209,4857.021,4870.017,4853.862,4873.842
42695,4858.998,4778.141,4739.373,4734.096,4810.814,4873.209,4857.021,4870.017,4853.862,4873.842,4858.998
42692,4808.042,4739.373,4734.096,4810.814,4873.209,4857.021,4870.017,4853.862,4873.842,4858.998,4808.042
42691,4826.587,4734.096,4810.814,4873.209,4857.021,4870.017,4853.862,4873.842,4858.998,4808.042,4826.587
42690,4792.268,4810.814,4873.209,4857.021,4870.017,4853.862,4873.842,4858.998,4808.042,4826.587,4792.268
42689,4764.474,4873.209,4857.021,4870.017,4853.862,4873.842,4858.998,4808.042,4826.587,4792.268,4764.474
42688,4702.045,4857.021,4870.017,4853.862,4873.842,4858.998,4808.042,4826.587,4792.268,4764.474,4702.045
42685,4751.951,4870.017,4853.862,4873.842,4858.998,4808.042,4826.587,4792.268,4764.474,4702.045,4751.951
42684,4747.028,4853.862,4873.842,4858.998,4808.042,4826.587,4792.268,4764.474,4702.045,4751.951,4747.028
42683,4825.184,4873.842,4858.998,4808.042,4826.587,4792.268,4764.474,4702.045,4751.951,4747.028,4825.184
42682,4804.92,4858.998,4808.042,4826.587,4792.268,4764.474,4702.045,4751.951,4747.028,4825.184,4804.92
42681,4773.729,4808.042,4826.587,4792.268,4764.474,4702.045,4751.951,4747.028,4825.184,4804.92,4773.729
42678,4660.457,4826.587,4792.268,4764.474,4702.045,4751.951,4747.028,4825.184,4804.92,4773.729,4660.457
